student_id,first_name,last_name,credential_type,credential_data,issuer,issue_date
STU001,Alex,Smith,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-01-25"",""gpa"":3.05}",University System,2022-01-25
STU002,Jordan,Johnson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-02-04
STU003,Taylor,Lee,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-02-14""}",University System,2022-02-14
STU004,Morgan,Brown,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-02-24"",""gpa"":3.2}",University System,2022-02-24
STU005,Casey,Davis,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-03-06
STU006,Riley,Miller,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-03-16""}",University System,2022-03-16
STU007,Avery,Wilson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-03-26"",""gpa"":3.35}",University System,2022-03-26
STU008,Cameron,Moore,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2022-04-05
STU009,Parker,Taylor,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-04-15""}",University System,2022-04-15
STU010,Quinn,Anderson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-04-25"",""gpa"":3.0}",University System,2022-04-25
STU011,Alex,Smith,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2022-05-05
STU012,Jordan,Johnson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-05-15""}",University System,2022-05-15
STU013,Taylor,Lee,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-05-25"",""gpa"":3.15}",University System,2022-05-25
STU014,Morgan,Brown,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2022-06-04
STU015,Casey,Davis,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-06-14""}",University System,2022-06-14
STU016,Riley,Miller,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-06-24"",""gpa"":3.3}",University System,2022-06-24
STU017,Avery,Wilson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-07-04
STU018,Cameron,Moore,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-07-14""}",University System,2022-07-14
STU019,Parker,Taylor,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-07-24"",""gpa"":3.45}",University System,2022-07-24
STU020,Quinn,Anderson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-08-03
STU021,Alex,Smith,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-08-13""}",University System,2022-08-13
STU022,Jordan,Johnson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-08-23"",""gpa"":3.1}",University System,2022-08-23
STU023,Taylor,Lee,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2022-09-02
STU024,Morgan,Brown,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-09-12""}",University System,2022-09-12
STU025,Casey,Davis,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-09-22"",""gpa"":3.25}",University System,2022-09-22
STU026,Riley,Miller,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2022-10-02
STU027,Avery,Wilson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-10-12""}",University System,2022-10-12
STU028,Cameron,Moore,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-10-22"",""gpa"":3.4}",University System,2022-10-22
STU029,Parker,Taylor,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2022-11-01
STU030,Quinn,Anderson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-11-11""}",University System,2022-11-11
STU031,Alex,Smith,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-11-21"",""gpa"":3.05}",University System,2022-11-21
STU032,Jordan,Johnson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-12-01
STU033,Taylor,Lee,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-12-11""}",University System,2022-12-11
STU034,Morgan,Brown,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-12-21"",""gpa"":3.2}",University System,2022-12-21
STU035,Casey,Davis,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-12-31
STU036,Riley,Miller,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-01-10""}",University System,2023-01-10
