student_id,first_name,last_name,credential_type,credential_data,issuer,issue_date,record_hash
STU001,Alex,Smith,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-01-25"",""gpa"":3.05}",University System,2022-01-25,2db5bca8efb6032a93a811345330c14e45b261f8e0c732a58d042d88c58fb195
STU002,Jordan,Johnson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-02-04,dc4f71189424aef25ec11ba7468305fa7f8d355aa276636b566b6fe37cb0e973
STU003,Taylor,Lee,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-02-14""}",University System,2022-02-14,29a4c98c49917e779cffc8c6629f4b02641566c91fb845ea10e752024ed1b602
STU004,Morgan,Brown,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-02-24"",""gpa"":3.2}",University System,2022-02-24,fdb9f1cdddb7cf050815f4cbf6f413e835a3d416e8c7fca1a0c6fd04677efd2d
STU005,Casey,Davis,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-03-06,abcc7eeacd7ecfff0c2497afa4b8a78fcbfefd682803f905db1946a6a2684bf1
STU006,Riley,Miller,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-03-16""}",University System,2022-03-16,95beaa2e3b9b90cea2df35c0a811ea3283f4a262827d32ec5047dd4595bb1da4
STU007,Avery,Wilson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-03-26"",""gpa"":3.35}",University System,2022-03-26,ce5ad150ce0245ddf1c23cbc4c40bdfacf1a1778853d1b5139944ebbb62a0228
STU008,Cameron,Moore,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2022-04-05,d09972b0e8a580264d59c522aca9e7839e8859bd0bf81524fe85c39bab46ff88
STU009,Parker,Taylor,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-04-15""}",University System,2022-04-15,0c3ba4e05f5aec728551e7184bbcbf0bf5e62242cdde310bd832b242a79eceb4
STU010,Quinn,Anderson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-04-25"",""gpa"":3.0}",University System,2022-04-25,decbebe643c44b6bdbb4895ed18f9b79a5f2d702d4b45533cec810563e6ead92
STU011,Alex,Smith,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2022-05-05,1967662f5c9115f736d393348998e3b316ea23541d40ee30c6abcbcc07a1c253
STU012,Jordan,Johnson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-05-15""}",University System,2022-05-15,0f807803ef1242afe535228fdd9ef9b2aa753f92d8fcdde0cd6b6f6f029a2e2a
STU013,Taylor,Lee,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-05-25"",""gpa"":3.15}",University System,2022-05-25,237118d132f28d2f4f014a96c8a13376f5376a8dc913472e04f4eb4a523930c7
STU014,Morgan,Brown,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2022-06-04,411ee418664fcce91d3bd87af75be049c6ecab53492c229bf8b5c871e3164152
STU015,Casey,Davis,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-06-14""}",University System,2022-06-14,189d098349c90e7a97117f741aa7f5ab4f7a887e11ae568f25d58cb4551309cb
STU016,Riley,Miller,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-06-24"",""gpa"":3.3}",University System,2022-06-24,c430b938de46e61d224edeab2680f1120d8200bd501f5eab8707cc7dc22b49d7
STU017,Avery,Wilson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-07-04,72d223a9db7bee1beca28f854d5732548d9418986974c65868e6263acba5e7a6
STU018,Cameron,Moore,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-07-14""}",University System,2022-07-14,d35bded34c2419bd40a994a9740f3599d95d4899dff6c59a0f3a1f0cdd8a2a4f
STU019,Parker,Taylor,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-07-24"",""gpa"":3.45}",University System,2022-07-24,af657ed9af3078bdb6813863639b95e5205dbb848e1103a3c05293c8b56cfcd9
STU020,Quinn,Anderson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-08-03,7afad12ebab160a62d579cf2803b2be5fcc29233998885457a1fd4974edd82d5
STU021,Alex,Smith,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-08-13""}",University System,2022-08-13,7ffdf18f2ff79e74458ddb6e2e720cc567635a6921d4c590d7a764193ef0cd15
STU022,Jordan,Johnson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-08-23"",""gpa"":3.1}",University System,2022-08-23,712dbb3504c0c5f58a600ab90010ca39e4a6e6e6806123be2e8bc709fb088d4f
